CO-Brew,4.5,1133 Broadway,Denver,CO,80203,(720) 485-4959,39.7346055694367,-104.987633787096,https://www.yelp.com/biz/co-brew-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
De Steeg Brewing,4.5,4342 Tennyson St,Denver,CO,80212,(303) 484-9698,39.7761033,-105.0438136,https://www.yelp.com/biz/de-steeg-brewing-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Black Sky Brewery,4,490 Santa Fe Dr,Denver,CO,80204,(720) 708-5816,39.723938,-104.998298,https://www.yelp.com/biz/black-sky-brewery-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Cerveceria Colorado,4.5,1635 Platte St,Denver,CO,80202,(720) 279-8248,39.75802,-105.00748,https://www.yelp.com/biz/cerveceria-colorado-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Seedstock Brewery,4.5,3610 W Colfax Ave,Denver,CO,80204,(720) 476-7831,39.7400817871094,-105.035110473633,https://www.yelp.com/biz/seedstock-brewery-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Great Divide Barrel Bar,4,1812 35th St,Denver,CO,80216,(303) 296-9460,39.770295971246,-104.979200350572,https://www.yelp.com/biz/great-divide-barrel-bar-denver-2?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Hogshead Brewery,4,4460 W 29th Ave,Denver,CO,80212,(303) 495-3105,39.7582499,-105.0451099,https://www.yelp.com/biz/hogshead-brewery-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Banded Oak Brewing Company,4.5,470 Broadway,Denver,CO,80203,(720) 479-8033,39.7237243652344,-104.987121582031,https://www.yelp.com/biz/banded-oak-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Sandlot Brewery,4,2161 Blake St,Denver,CO,80205,(303) 298-1587,39.756031,-104.992376,https://www.yelp.com/biz/sandlot-brewery-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Bierstadt Lagerhaus,4,2875 Blake St,Denver,CO,80205,(720) 570-7824,39.76281,-104.98398,https://www.yelp.com/biz/bierstadt-lagerhaus-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Goldspot Brewing,4.5,4970 Lowell Blvd,Denver,CO,80221,,39.786869,-105.034225,https://www.yelp.com/biz/goldspot-brewing-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Call To Arms Brewing Company,4.5,4526 Tennyson St,Denver,CO,80212,(720) 328-8258,39.77887,-105.043633,https://www.yelp.com/biz/call-to-arms-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
