Racer 5 IPA®,7.5,75,IPA - American,"This hoppy IPA is a full bodied beer brewed with malted barley wheat and crystal malts The malt base is designed to highlight the unique floral qualities of Columbus and Cascade hops from the Pacific Northwest There’s a trophy in every glass!",https://untappd.akamaized.net/site/beer_logos/beer-BearRepublicRacer5.jpg,Bear Republic Brewing Co.,Regional Brewery,Healdsburg,CA,38.6111,-122.871,https://untappd.akamaized.net/site/brewery_logos/brewery-bearrepublicbrewingco_94.jpeg,http://www.bearrepublic.com/
Harpoon IPA,5.9,42,IPA - American,"We started brewing this beer as a summer seasonal in 1993  There were some great IPAs out in the Pacific Northwest but no local IPAs on the east coast  We wanted to have a local IPA so we brewed one  People absolutely loved it and so did we  So we made it a year-round beer and it’s now our bestselling beer and our flagshipnDescription Since its introduction Harpoon IPA has remained unique in its ability to balance hop bitterness with a strong malt backbone Dry-hopped with Cascade hops it has a floral hop aroma and a finish that is bitter it is an IPA after all! without being harsh or astringent Combined with a malty sweetness and the fruity esters of our proprietary yeast those hops create a beer that is wonderfully hoppy but clean and refreshing enough to enjoy a few of - and we hope you do    ",https://untappd.akamaized.net/site/beer_logos/beer-5928_9a6d4_sm.jpeg,Harpoon Brewery,Regional Brewery,Boston,MA,42.3465,-71.0344,https://untappd.akamaized.net/site/brewery_logos/brewery-634_e25b4.jpeg,http://www.harpoonbrewery.com
Anti-Hero,6.7,65,IPA - American,"Our flagship IPA is supremely aromatic crisp and drinkable This iconic ale features a blend of Warrior Chinook Centennial and Amarillo to create a crisp clean bitterness and imparts massive floral and citrus aromas rnAn American hop assault for all the ambivalent warriors who get the girl in the end “Look I aint in this for your revolution and Im not in it for you Princess” ",https://untappd.akamaized.net/site/beer_logos/beer-9275_fe770_sm.jpeg,Revolution Brewing Company,Regional Brewery,Chicago,IL,41.9421,-87.708,https://untappd.akamaized.net/site/brewery_logos/brewery-2605_4e491.jpeg,http://revbrew.com
HopDevil IPA,6.7,50,IPA - American,"Bold spicy and Menacingly Delicious™ this American-hopped IPA offers an aromatic punch and follows through with a lasting full-bodied finishnnPine and citrus filled nose from the American hops Malt sweetness in there as well Drinkable hop juiciness is the key while remaining balanced with ample caramel presence",https://untappd.akamaized.net/site/beer_logos/beer-3832_a612e_sm.jpeg,Victory Brewing Company,Regional Brewery,Downingtown,PA,40.0061,-75.6942,https://untappd.akamaized.net/site/brewery_logos/brewery-1326_6ca88.jpeg,http://victorybeer.com/
Hopslam Ale,10,0,IPA - Imperial / Double,"A biting bitter tongue bruiser of an ale With a name like Hopslam what did you expect",https://untappd.akamaized.net/site/beer_logos/beer-4143_90b4a_sm.jpeg,Bell's Brewery,Regional Brewery,Comstock,MI,42.2843,-85.4538,https://untappd.akamaized.net/site/brewery_logos/brewery-2507_ad044.jpeg,http://www.bellsbeer.com/
Hop Hunter IPA,6.2,60,IPA - American,"Hop Hunter IPA harnesses the complex flavors of just-picked hops through an all-new method of steam distilling wet hops before they even leave the fields This revolutionary technique captures and intensifies the natural flavors creating a unique and intensely aromatic beer Our custom process gathers pure hop oil which when combined with traditional whole-cone hops in the brew kettle and in our Hop Torpedo makes for an incredible IPA experience",https://untappd.akamaized.net/site/beer_logos/beer-568188_36653_sm.jpeg,Sierra Nevada Brewing Co.,Regional Brewery,Chico,CA,39.7242,-121.815,https://untappd.akamaized.net/site/brewery_logos/brewery-1142_ddcfe.jpeg,http://www.sierranevada.com/
Stone Go To IPA,4.5,65,IPA - Session / India Session Ale,"Since Day One we’ve been abundantly forthright about our lust for hops It’s led us to craft many an IPA most of them imperial—some intense for their time and all timeless in their intensity For Stone Go To IPA we’ve embraced our hop obsession in a new way funneling an abundance of lupulin-borne bitterness into a “session” IPA that delivers all the fruity piney character of a much bigger IPA at a more modest ABV levelnnTo accomplish this we employed “hop bursting” The result is an alpha-acid-rich beer that fans can enjoy more of Without settling for less of the assertive hop character you like us cravennMalt Pale Light Crystal and ViennannHops Magnum El Dorado Crystal Cascade Experimental Hop Steiner 06300 Mosaic dry hopped Crystal Ahtanum Sterling Citra dry hopped and Cascade Hops dry hopped",https://untappd.akamaized.net/site/beer_logos/beer-564031_15fa5_sm.jpeg,Stone Brewing,Regional Brewery,Escondido,CA,33.1157,-117.12,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,http://www.stonebrewing.com/
Union Jack IPA,7,70,IPA - American,"An aggressively hopped West Coast-style IPA  Union Jack showcases exceptional dry hop character with stunning pineapple citrus and piney aromas on the nose accompanied by honey-like malt aromatics  Double dry hopping brings bold grapefruit tangerine and citrus flavors that are contrasted by pale malt sweetness to balance this intense brew  A true tribute to the style that put the West Coast on the craft beer map ",https://untappd.akamaized.net/site/beer_logos/beer-5428_627ae_sm.jpeg,Firestone Walker Brewing Company,Regional Brewery,Paso Robles,CA,35.5953,-120.694,https://untappd.akamaized.net/site/brewery_logos/brewery-524_e835d.jpeg,http://www.firestonebeer.com/
Perpetual IPA,7.5,85,IPA - American,"In our constant evolution as a brewery we’ve developed on undying drive to meld the organic and the mechanical Perpetual IPA utilizes our hopback and dry-hopping to engineer a bold Imperial Pale Ale Perpetual IPA is 75 ABV and 85 IBUs It features Bravo Chinook and Mt Hood hops in the boil Mt Hood and Nugget hops in the hopback and Citra Cascade and Nugget hops in dry-hopping",https://untappd.akamaized.net/site/beer_logos/beer-71016_931ae_sm.jpeg,Tröegs Independent Brewing,Regional Brewery,Hershey,PA,40.2933,-76.6576,https://untappd.akamaized.net/site/brewery_logos/brewery-2583_46be7.jpeg,http://www.troegs.com/
Brooklyn East IPA,6.9,47,IPA - English,"Clean drinkable IPA thats packed with flavor and offers a bold balance",https://untappd.akamaized.net/site/beer_logos/beer-EastIndiaPaleAleIPA_1826.jpeg,Brooklyn Brewery,Regional Brewery,Brooklyn,NY,40.7215,-73.9575,https://untappd.akamaized.net/site/brewery_logos/brewery-BrooklynBrewery_259.jpeg,http://brooklynbrewery.com
Hop Nosh IPA,7.3,82,IPA - American,"Our flagship IPA boasts an assertive bitterness and vibrant hop aromatics Expect notes of pine lime zest and grapefruit supported by caramel malts rn",https://untappd.akamaized.net/site/beer_logos/beer-555987_31fb4_sm.jpeg,Uinta Brewing Company,Regional Brewery,Salt Lake City,UT,40.7326,-111.954,https://untappd.akamaized.net/site/brewery_logos/brewery-1304_8f419.jpeg,http://www.uintabrewing.com/
